Date	Sno	Width	Height
2017.03.14 01:04:56.454	2274522763	63	127
2017.03.14 01:04:56.471	2274522764	63	127
2017.03.14 01:04:56.487	2274522765	63	127
2017.03.14 01:04:56.504	2276208890	63	63
2017.03.14 01:04:56.521	2279076434	63	127
2017.03.14 01:04:56.538	2279290962	81	163
2017.03.14 01:04:56.555	2280375200	63	63
2017.03.14 01:04:56.572	2280883641	63	63
2017.03.14 01:04:56.588	2281503825	63	63
2017.03.14 01:04:56.606	2281911162	63	63
2017.03.14 01:04:56.624	2282325476	63	63
2017.03.14 01:04:56.640	2282966167	63	63
2017.03.14 01:04:56.659	2283178360	55	123
2017.03.14 01:04:56.671	2283909841	63	63
2017.03.14 01:04:56.687	2284766065	63	63
2017.03.14 01:04:56.704	2284853267	63	127
2017.03.14 01:04:56.721	2285726015	63	63
2017.03.14 01:04:56.738	2289362010	63	63
2017.03.14 01:04:56.756	2289783393	63	63
2017.03.14 01:04:56.772	2290536697	63	63
2017.03.14 01:04:56.789	2291254722	63	63
2017.03.14 01:04:56.807	2291490679	63	127
2017.03.14 01:04:56.824	2295726708	63	99
2017.03.14 01:04:56.840	2296748316	63	127
2017.03.14 01:04:56.858	2297806700	63	63
2017.03.14 01:04:56.874	2298192937	39	39
2017.03.14 01:04:56.892	2298433880	99	24
2017.03.14 01:04:56.908	2301362833	94	142
2017.03.14 01:04:56.924	2302068449	63	127
2017.03.14 01:04:56.942	2302394113	63	63
2017.03.14 01:04:56.958	2302453016	95	143
2017.03.14 01:04:56.975	2302829063	63	63
2017.03.14 01:04:56.992	2304316913	63	127
2017.03.14 01:04:57.009	2304874728	63	63
2017.03.14 01:04:57.027	2305157942	81	163
2017.03.14 01:04:57.043	2307120677	63	63
2017.03.14 01:04:57.059	2307233070	63	63
2017.03.14 01:04:57.076	2308093887	81	163
2017.03.14 01:04:57.092	2308099665	81	163
2017.03.14 01:04:57.109	2310731746	39	39
2017.03.14 01:04:57.126	2312214453	63	63
2017.03.14 01:04:57.142	2315309630	63	63
2017.03.14 01:04:57.159	2316152323	63	63
2017.03.14 01:04:57.176	2317968791	63	127
2017.03.14 01:04:57.193	2318211827	63	127
2017.03.14 01:04:57.209	2319601465	63	63
2017.03.14 01:04:57.226	2320289309	63	127
2017.03.14 01:04:57.243	2321364825	63	63
2017.03.14 01:04:57.260	2322953902	63	127
2017.03.14 01:04:57.276	2325498334	297	146
2017.03.14 01:04:57.293	2326263137	161	39
2017.03.14 01:04:57.310	2327803271	63	63
2017.03.14 01:04:57.326	2328734614	63	63
2017.03.14 01:04:57.343	2328918786	63	63
2017.03.14 01:04:57.360	2329324693	94	142
2017.03.14 01:04:57.377	2333460584	63	127
2017.03.14 01:04:57.395	2334862101	63	127
2017.03.14 01:04:57.413	2335019540	63	63
2017.03.14 01:04:57.429	2335221180	63	127
2017.03.14 01:04:57.446	2335323547	44	8
2017.03.14 01:04:57.462	2335334367	63	127
2017.03.14 01:04:57.479	2336331887	63	63
2017.03.14 01:04:57.495	2337328330	39	39
2017.03.14 01:04:57.513	2337644531	63	127
2017.03.14 01:04:57.531	2339511443	63	63
2017.03.14 01:04:57.548	2340168666	63	127
2017.03.14 01:04:57.565	2342328664	63	127
2017.03.14 01:04:57.582	2344293335	81	163
2017.03.14 01:04:57.598	2345119055	63	63
2017.03.14 01:04:57.616	2345857499	55	67
2017.03.14 01:04:57.633	2346763110	63	63
2017.03.14 01:04:57.649	2348816025	63	127
2017.03.14 01:04:57.666	2349055119	63	127
2017.03.14 01:04:57.682	2350065673	63	63
2017.03.14 01:04:57.700	2350250789	94	142
2017.03.14 01:04:57.717	2352397757	63	63
2017.03.14 01:04:57.733	2352467779	63	127
2017.03.14 01:04:57.750	2353603417	63	127
2017.03.14 01:04:57.766	2355536554	63	63
2017.03.14 01:04:57.783	2357347220	63	127
2017.03.14 01:04:57.800	2357553258	63	63
2017.03.14 01:04:57.817	2357817200	63	127
2017.03.14 01:04:57.834	2357986295	63	127
2017.03.14 01:04:57.852	2359534819	63	127
2017.03.14 01:04:57.869	2360437843	63	63
2017.03.14 01:04:57.886	2361838924	63	63
2017.03.14 01:04:57.904	2364610985	63	63
2017.03.14 01:04:57.921	2365792128	63	63
2017.03.14 01:04:57.938	2366300569	63	63
2017.03.14 01:04:57.955	2366762859	63	63
2017.03.14 01:04:57.972	2368054179	63	63
2017.03.14 01:04:57.989	2368061885	63	127
2017.03.14 01:04:58.006	2370043164	63	127
2017.03.14 01:04:58.023	2371335276	63	63
2017.03.14 01:04:58.039	2373338990	63	63
